Fit_ID;Accessory_ID;Boat_ID
1;1;101
2;1;201
3;1;202
4;1;301
5;1;302
6;1;303
7;2;101
8;2;201
9;2;202
10;3;101
11;3;201
12;3;202
13;3;301
14;3;302
15;3;303
16;4;303
17;5;303
18;6;101
19;6;301
20;6;302
21;6;303
22;7;303
23;8;101
24;8;201
25;8;202
26;8;301
27;8;302
28;8;303
29;9;101
30;9;201
31;9;202
32;9;301
33;9;302
34;9;303
35;10;101
36;10;202
37;10;202
38;10;301
39;10;302
40;10;303
41;11;201
42;11;202
43;11;301
44;11;302
45;11;303
46;12;201
47;12;202
48;12;301
49;12;302
50;12;303
51;13;201
52;13;202
53;14;101
54;14;202
55;14;202
56;14;301
57;14;302
58;14;303
